1000
x px y py z pz
7.3797510200e-04 2.8811575176e-02 3.3682581175e-04 9.7591095318e-03 3.3682581175e-04 -2.2083905829e-02
1.5399764838e-04 1.0245287933e-02 2.7921666726e-04 1.4009747125e-02 2.7921666726e-04 4.9442454400e-02
6.1570316063e-05 6.5451409548e-04 2.0566658643e-03 4.6015050865e-02 2.0566658643e-03 2.4489916771e-02
-8.5549718574e-04 -3.0244620065e-02 2.5710406506e-04 1.1943422591e-02 2.5710406506e-04 -3.1888283063e-02
-4.0851931221e-04 -1.3879415332e-02 2.2037752464e-03 4.9513250233e-02 2.2037752464e-03 1.4595333192e-02
-5.8653310203e-04 -1.7998001323e-02 -1.2344003059e-03 -4.4489347846e-02 -1.2344003059e-03 -2.6597724905e-02
-6.2519660708e-04 -2.2892525359e-02 -2.9859713912e-04 -6.2559195328e-03 -2.9859713912e-04 1.8791889027e-02
-3.5251818116e-04 -7.6230091789e-03 1.3333807265e-03 4.7595685630e-02 1.3333807265e-03 1.0175831645e-02
1.5215969094e-03 4.4175606611e-02 9.7000674037e-04 3.1168333939e-02 9.7000674037e-04 4.8245069653e-03
-7.7677547581e-04 -2.8605471153e-02 -6.1983255436e-05 -1.6098641387e-04 -6.1983255436e-05 -2.1193034764e-02
1.5417933339e-03 4.9570061999e-02 -9.6217194206e-05 -6.1458099014e-03 -9.6217194206e-05 -1.1394224640e-02
1.6003343070e-03 5.2854044333e-02 2.3620804015e-04 7.7580164084e-03 2.3620804015e-04 1.8184924176e-02
7.8588227371e-04 2.6946302477e-02 7.9807929338e-04 2.8987343593e-02 7.9807929338e-04 3.4587424518e-02
7.9455526869e-04 2.7800737272e-02 4.7719385967e-06 -4.3447109766e-03 4.7719385967e-06 -3.8882186170e-02
-1.3170878995e-03 -1.3248500405e-02 -2.1180861138e-03 -2.1869537533e-02 -2.1180861138e-03 2.0838759175e-02
-1.2050592814e-03 -4.7399466445e-02 -5.8833929442e-04 -1.9036692811e-02 -5.8833929442e-04 1.8465097128e-02
-4.5339648760e-04 -1.5038852083e-02 -1.1093321981e-03 -4.4253605290e-02 -1.1093321981e-03 -9.1826934128e-03
-2.9228783605e-04 -8.6837144074e-03 -4.8298166424e-04 -1.1719108230e-02 -4.8298166424e-04 2.2121606492e-02
2.2365574449e-03 4.5187105795e-02 1.5726469491e-04 4.0119794102e-03 1.5726469491e-04 1.3334229806e-02
-6.2991837942e-04 -2.3006942967e-02 5.9776769413e-04 2.1719376168e-02 5.9776769413e-04 8.7556969647e-04
-1.0326447669e-03 -3.7204539174e-02 -2.8233243664e-04 -9.0809921862e-03 -2.8233243664e-04 4.1307335093e-02
-1.2150634523e-03 -4.9798697602e-02 4.6826432835e-04 1.5382973372e-02 4.6826432835e-04 -8.4663076092e-03
8.0260945734e-04 3.6427595080e-02 -4.4950160051e-04 -1.5186371960e-02 -4.4950160051e-04 -2.1192213663e-02
-1.1660769749e-03 -4.6102959043e-02 -2.5777471108e-04 -2.7428983362e-03 -2.5777471108e-04 -1.8753422724e-02
6.6848666663e-04 2.7188541200e-02 -5.9071547920e-04 -2.1658676594e-02 -5.9071547920e-04 1.5202413877e-02
4.6797592921e-05 1.9162579592e-03 -8.5157008558e-04 -2.1586347245e-02 -8.5157008558e-04 5.0983926785e-02
-2.4632851895e-04 -7.3004075960e-03 1.1942783775e-03 3.9036901855e-02 1.1942783775e-03 3.9599050699e-02
1.5035332749e-03 3.2243706628e-02 -1.6724325194e-03 -3.4367964014e-02 -1.6724325194e-03 -6.2658188497e-03
5.6410599681e-04 2.7083603145e-02 -9.4518275832e-04 -3.6402084477e-02 -9.4518275832e-04 2.1673421821e-02
-2.4246104581e-04 -3.6057175696e-03 -2.2033723108e-03 -3.9358022449e-02 -2.2033723108e-03 2.4643353588e-02
-1.8676580909e-03 -4.6975857785e-02 6.6249310635e-05 1.0396374459e-03 6.6249310635e-05 -5.3141649765e-03
-9.3314549395e-04 -3.3208093289e-02 1.2302859168e-03 3.4925959980e-02 1.2302859168e-03 -1.9730157216e-03
-3.2228057044e-04 -9.9619477230e-03 -1.0862220451e-04 -5.3597838362e-03 -1.0862220451e-04 -4.7067600128e-02
1.1989239540e-03 3.8696474698e-02 3.9480012800e-04 1.5938156904e-02 3.9480012800e-04 3.0654284891e-02
9.8627106583e-04 2.6972800349e-02 -7.8069001312e-04 -2.5271864280e-02 -7.8069001312e-04 4.0714071933e-02
1.5672942258e-03 5.2054140537e-02 -1.9436167578e-04 -8.6393340110e-03 -1.9436167578e-04 -1.3893268741e-03
-1.2412796792e-04 -2.7957859967e-03 -1.4685110785e-03 -3.2763585445e-02 -1.4685110785e-03 -3.7145871601e-02
5.1965872432e-04 1.6407976427e-02 -1.8694442898e-03 -5.3442507007e-02 -1.8694442898e-03 9.3531003101e-03
-1.1804629924e-03 -3.4892278921e-02 8.0881435006e-04 1.9893293735e-02 8.0881435006e-04 -3.4240034183e-02
-1.0077339221e-03 -4.0962878377e-02 5.5845807844e-04 2.1036861269e-02 5.5845807844e-04 2.9979875080e-02
9.9121998271e-04 3.0275457505e-02 -1.6139723684e-03 -4.5559176459e-02 -1.6139723684e-03 1.1370946403e-02
-9.6460079024e-05 4.9638543866e-04 1.1306500777e-03 3.9102482832e-02 1.1306500777e-03 3.8047524777e-02
2.1966255672e-03 3.0652744369e-02 -2.2763548903e-04 -6.0218171267e-03 -2.2763548903e-04 -1.9256521288e-02
1.1761250251e-03 2.5098577002e-02 -1.9757370320e-03 -3.6038284564e-02 -1.9757370320e-03 -1.3698311296e-02
-7.6268177877e-04 -2.7381237138e-02 4.3355527577e-04 1.5135313325e-02 4.3355527577e-04 4.7124756536e-02
2.3477362625e-03 4.2984845311e-02 -1.7087890424e-04 -1.1748674867e-03 -1.7087890424e-04 1.6798067673e-02
9.5760607038e-04 1.1723915581e-02 -2.5851037796e-03 -3.2173370958e-02 -2.5851037796e-03 9.3971947037e-03
1.7324296274e-04 5.3074356685e-03 9.8190833837e-04 3.1441666598e-02 9.8190833837e-04 -1.9139130600e-02
1.3726590492e-04 4.9062310328e-03 1.8911216483e-03 5.4459713787e-02 1.8911216483e-03 -4.1439133770e-03
-7.0732514198e-04 -2.7015135714e-02 -1.2279583977e-03 -5.0133362729e-02 -1.2279583977e-03 1.1214984127e-02
1.2301512823e-03 3.1256888840e-02 -1.6810215402e-03 -3.6771380864e-02 -1.6810215402e-03 -1.0647126272e-02
-7.9006955338e-04 -2.1659079788e-02 7.0107372282e-04 1.8484096455e-02 7.0107372282e-04 -4.3396285611e-02
1.2574577584e-04 1.5907007758e-03 1.7216127058e-03 4.9011421056e-02 1.7216127058e-03 -2.6299501109e-02
8.5929440348e-04 3.1822999903e-02 -3.4869341289e-04 -1.1676794872e-02 -3.4869341289e-04 1.5575295024e-02
1.3684214578e-03 3.8883271625e-02 8.7222999939e-04 2.8703173308e-02 8.7222999939e-04 1.3889711120e-02
8.8522742949e-04 2.6846906536e-02 5.4795613515e-04 2.0073824199e-02 5.4795613515e-04 4.5888357157e-02
7.2186933105e-04 2.0676155166e-02 1.5109879961e-03 3.7854192173e-02 1.5109879961e-03 3.4816563579e-02
-2.2556953461e-04 -7.0423759327e-03 2.2700137724e-04 6.0989136021e-03 2.2700137724e-04 -4.8895385154e-02
1.1081826375e-03 1.5240559210e-02 -8.0900894599e-04 -1.2772666292e-02 -8.0900894599e-04 3.7377980479e-02
7.9831125701e-04 2.7927040171e-02 6.9233139829e-05 -5.3540431297e-03 6.9233139829e-05 -3.8411124521e-02
-1.5936153551e-03 -5.4021038717e-02 -6.4959961311e-04 -1.7840687504e-02 -6.4959961311e-04 1.3256026058e-03
3.2356776906e-04 1.0553064303e-02 -9.2609627709e-04 -2.9930374398e-02 -9.2609627709e-04 4.4607039957e-02
-2.4839010475e-03 -3.7106035068e-02 4.9088916691e-04 7.3141517886e-03 4.9088916691e-04 -1.0595965716e-02
-7.4274503623e-04 -2.3484052723e-02 8.3184704450e-04 2.8801536706e-02 8.3184704450e-04 4.8506715313e-02
-1.1619044420e-03 -4.6337671520e-02 8.8357732152e-04 3.0529251722e-02 8.8357732152e-04 1.2078517500e-02
2.1952045862e-04 8.6415284365e-03 1.4758646597e-03 4.8714771667e-02 1.4758646597e-03 5.6113430191e-03
-3.4225086329e-04 -6.9688287134e-03 1.7260017159e-03 5.3933017477e-02 1.7260017159e-03 -5.5921651100e-04
-4.4972683205e-04 -1.5543998340e-02 3.8834260837e-04 1.6491788335e-02 3.8834260837e-04 3.1958931780e-02
-3.1633951935e-04 -7.7111048418e-03 -6.0886517652e-04 -1.9915181798e-02 -6.0886517652e-04 -3.5857260342e-02
1.6736947152e-03 5.3966866324e-02 2.5695741711e-04 7.0448390473e-03 2.5695741711e-04 9.0138131319e-03
-1.7242329874e-03 -5.4802676326e-02 1.7393377961e-04 7.4578793458e-03 1.7393377961e-04 1.4964736385e-03
-7.6614032973e-04 -2.6212984120e-02 -8.1879153691e-04 -2.7689066385e-02 -8.1879153691e-04 -3.4674303606e-02
-1.8530695850e-03 -5.4102162634e-02 -1.2520900867e-04 -1.7120972283e-04 -1.2520900867e-04 1.3774032958e-02
4.7827064204e-04 1.8301251516e-02 1.0246480318e-03 3.8207154098e-02 1.0246480318e-03 1.5217629385e-02
-6.7966593022e-04 -1.8049148081e-02 -8.4814061108e-04 -2.1058871259e-02 -8.4814061108e-04 4.2987250408e-02
-5.9309748573e-04 -2.0500197646e-02 7.3567909108e-04 2.5966702354e-02 7.3567909108e-04 -2.7570490799e-03
-4.7780821513e-04 -1.6322899975e-02 -8.3308182068e-04 -3.2209490236e-02 -8.3308182068e-04 -7.7322149148e-03
4.3942846052e-04 2.0356426815e-02 -1.5518813913e-03 -5.9647218799e-02 -1.5518813913e-03 5.5694791533e-03
4.1198677482e-04 1.2559657667e-02 5.6130444520e-04 1.7332927565e-02 5.6130444520e-04 -3.1258806368e-02
4.8633423865e-04 1.8218842629e-02 -1.1886781023e-04 -3.6902933714e-03 -1.1886781023e-04 -3.6242217638e-02
-1.1748148544e-03 -4.5600751185e-02 8.3305972016e-04 2.9649982261e-02 8.3305972016e-04 1.9736172624e-02
1.5043952564e-03 1.2877631404e-02 -1.7486432592e-03 -1.4712563965e-02 -1.7486432592e-03 -1.5891075741e-02
-6.1109718578e-04 -1.7262739235e-02 1.3074927216e-03 4.3365813029e-02 1.3074927216e-03 3.3694831954e-03
6.5305542238e-05 1.0771344373e-03 2.4930369177e-04 7.0746939269e-03 2.4930369177e-04 -1.0072437173e-02
1.9342633974e-03 4.7379511211e-02 -3.8021173366e-04 -7.2836393057e-03 -3.8021173366e-04 1.9620488004e-02
9.2495962901e-04 9.6438892785e-03 4.0360866847e-04 6.3604591332e-03 4.0360866847e-04 3.6199505489e-02
-6.9010229852e-04 -2.4564843893e-02 1.8977080312e-04 3.2912271321e-03 1.8977080312e-04 -7.8172924700e-03
6.5812904372e-04 1.9701755553e-02 1.1080445064e-04 -1.1012477156e-03 1.1080445064e-04 -4.1077400148e-02
1.4984583033e-03 2.2550991871e-02 2.0034613973e-04 1.7118883896e-03 2.0034613973e-04 -3.1228387627e-02
-9.8609567768e-04 -3.6968202642e-02 -6.9150916455e-04 -2.3453456839e-02 -6.9150916455e-04 -3.2100267763e-02
-2.3308210924e-05 -1.9891676869e-04 -9.0007823153e-04 -2.0163616582e-02 -9.0007823153e-04 -4.5038550653e-02
-7.3347443998e-04 -2.2794153831e-02 1.4375598020e-03 4.1078311291e-02 1.4375598020e-03 -2.4100220800e-02
4.7158498277e-04 1.5652017250e-02 4.5929471694e-04 1.4265285387e-02 4.5929471694e-04 -3.4456763978e-02
-6.4531783227e-04 -1.5620872767e-02 -1.5822149122e-03 -3.7840467284e-02 -1.5822149122e-03 3.4580989966e-02
1.1686280507e-03 1.5464910453e-02 -2.3724701202e-04 -2.1175646723e-03 -2.3724701202e-04 4.0136713315e-02
-6.6894360783e-04 -2.6154222853e-02 -5.0857669943e-04 -1.1242967154e-02 -5.0857669943e-04 -1.5418897320e-02
-1.6682414979e-04 -4.4326863984e-03 -1.1838396964e-03 -4.8352224789e-02 -1.1838396964e-03 1.8865032471e-02
2.2363205506e-03 2.6911902487e-02 -1.5399719079e-03 -1.9671083880e-02 -1.5399719079e-03 -1.2966001652e-03
-1.1822449866e-03 -3.3884087791e-02 -7.2608682685e-04 -1.9110895648e-02 -7.2608682685e-04 3.7720173392e-02
-2.5180143512e-04 -7.3759096760e-03 -7.6542537494e-04 -2.6195948229e-02 -7.6542537494e-04 4.0634700985e-02
-2.5381326525e-04 -5.5649457206e-03 2.5317317657e-03 4.8074705553e-02 2.5317317657e-03 -9.9270513134e-04
-2.8623329669e-04 -1.0180683468e-02 -1.2399887602e-03 -5.2618325210e-02 -1.2399887602e-03 -6.9419538124e-04
6.2659182406e-04 7.4862604018e-03 2.4442357660e-04 4.1865535634e-03 2.4442357660e-04 -4.2693715159e-02
-1.7502118771e-03 -4.2925529252e-02 -2.4546586511e-04 -5.0317646032e-03 -2.4546586511e-04 2.9434110555e-02
1.2254846898e-03 3.7019123333e-02 -8.3474045899e-04 -3.0509419623e-02 -8.3474045899e-04 2.3894413479e-02
-4.6452467446e-04 -1.2846133290e-02 1.1398668299e-03 4.1897073972e-02 1.1398668299e-03 2.3985521794e-02
1.9412389031e-03 1.2016148321e-02 -2.9192335568e-03 -1.8333956159e-02 -2.9192335568e-03 -1.9499391739e-03
-2.5416110281e-03 -4.2464926531e-02 -5.5368772593e-04 -7.0438604165e-03 -5.5368772593e-04 6.7978189808e-03
-1.3115230468e-03 -4.7359087257e-02 8.3666801433e-04 2.1950189876e-02 8.3666801433e-04 -1.2236731941e-02
9.8852555959e-04 2.8824799463e-02 1.7885638693e-03 4.7134884821e-02 1.7885638693e-03 -5.4085878532e-03
-1.5478304448e-04 -4.8751281885e-03 -3.2182432368e-04 -1.4806527390e-02 -3.2182432368e-04 4.4935065953e-02
1.6384205310e-03 3.9563962330e-02 -4.0997315750e-04 -1.1615418118e-02 -4.0997315750e-04 3.7874047134e-02
