Position(mm)	Field(T)
5.	-0.001663533
5.2000000000000455	-0.001663533
5.400000000000091	-0.001675534
5.599999999999909	-0.001686534
5.7999999999999545	-0.001697534
6.	-0.001706535
6.2000000000000455	-0.001713535
6.400000000000091	-0.001729536
6.599999999999909	-0.001737536
6.7999999999999545	-0.001746537
7.	-0.001755537
7.2000000000000455	-0.001765538
7.400000000000091	-0.001772538
7.599999999999909	-0.001786539
7.7999999999999545	-0.001795539
8.	-0.00180754
8.200000000000045	-0.00181154
8.400000000000091	-0.001824541
8.599999999999909	-0.001843541
8.799999999999955	-0.001848541
9.	-0.001866542
9.200000000000045	-0.001871542
9.400000000000091	-0.001877543
9.599999999999909	-0.001899543
9.799999999999955	-0.001904544
10.	-0.001914544
10.200000000000045	-0.001927545
10.400000000000091	-0.001937545
10.599999999999909	-0.001948546
10.799999999999955	-0.001962546
11.	-0.001974547
11.200000000000045	-0.001980547
11.400000000000091	-0.001994548
11.599999999999909	-0.002011548
11.799999999999955	-0.002020549
12.	-0.002030549
12.200000000000045	-0.002044549
12.400000000000091	-0.00205555
12.599999999999909	-0.00206955
12.799999999999955	-0.002087551
13.	-0.002098551
13.200000000000045	-0.002111552
13.400000000000091	-0.002113552
13.599999999999909	-0.002127553
13.799999999999955	-0.002138553
14.	-0.002157554
14.200000000000045	-0.002162554
14.400000000000091	-0.002178555
14.599999999999909	-0.002199555
14.799999999999955	-0.002207556
15.	-0.002219556
15.200000000000045	-0.002236557
15.400000000000091	-0.002248557
15.599999999999909	-0.002263557
15.799999999999955	-0.002280558
16.	-0.002291558
16.200000000000045	-0.002304559
16.40000000000009	-0.002316559
16.59999999999991	-0.00232856
16.799999999999955	-0.00234956
17.	-0.002362561
17.200000000000045	-0.002374561
17.40000000000009	-0.002391562
17.59999999999991	-0.002401562
17.799999999999955	-0.002419563
18.	-0.002437563
18.200000000000045	-0.002448564
18.40000000000009	-0.002461564
18.59999999999991	-0.002476564
18.799999999999955	-0.002493565
19.	-0.002510565
19.200000000000045	-0.002515566
19.40000000000009	-0.002539566
19.59999999999991	-0.002556567
19.799999999999955	-0.002572567
20.	-0.002585568
20.200000000000045	-0.002598568
20.40000000000009	-0.002613569
20.59999999999991	-0.002636569
